tweet,sentiment,depression_score
You forgot the part where Republicans caused the worst recession after the Great Depression.,0,0.0
"Manic behaviour, depression and social anxiety, please leave me.",1,0.6
 I ended up with serious depression and had to drop out of the semester :-(  https://twitter.com/clrdubin/status/1101972672076931072Â â€¦,1,0.7
Use of mental health services by communityresident adults with DSMIV anxiety and mood disorders in a violenceprone area SÂ£o Paulo brazil.: While underuse of mental health services by adults with anxiety andor depression is well established use in aâ€¦  http://bioportfol.io/R0fY6mÂ  pic.twitter.com/1SUqnDmKIK,0,0.0
depression is like losing something and not knowing when or where you last had it. then one day you realize what you lost is yourself. I have lost myself.,1,0.6
I need a fucking journal or something so I can spew all my stupid and depressing thoughts into it without feeling like I'm begging for attention or pity. Cuz my depression is hitting HARD right now and I don't want to feel like a fucking burden.,1,0.5
depression,1,0.5
"The jobs are leaving. Do you really think $1000 a mo is going to be enough to survive? They will have to work. But when the jobs are gone they need a way to not fall down spiral of depression, suicide. Please actually read his book or listen to him speak.",0,0.0
Depression is a thing people. We need to make sure EVERYONE who suffers from depression (like me) has someone they can turn to 24/7 365  https://twitter.com/abc7ny/status/1105370586614624256Â â€¦,0,0.0
i know my depression is getting bad ,1,0.5
Is there a pause button on this crazy train ride of life?! I need some sleep and just one day pain free.....I'm not greedy! #unwillingadult #CRPS #anxiety #depression #hypermobility #invisibleillness #IGotThis #spoonielife #pushedmyluck,1,0.5
Teach me how to handle depression. #TuesdayMotivation,1,0.4
"Development of digital psychotherapy #DTx for depression will need to address concerns regarding efficacy, privacy, data security, and methods to enhance motivation to use these treatments  https://www.nature.com/articles/s41746-019-0077-1Â â€¦",0,0.0
"depression is a lying asshole that uses my own voice to lie to me (had it since I was little, I know how bad it gets). ",1,0.5
Daily intake of nutritional supplements cannot prevent depression - Science Daily  https://www.sciencedaily.com/releases/2019/03/190306100545.htmÂ â€¦,0,0.0
" I HATE EVERYTHING just leave me alone I DIDN'T ASK TO BE FUCKING BORN AND CERTAINLY NOT WITH THIS ABSOLUTE SHOE OF A BRAIN nobody talk to me, depression hurts.",1,0.6
8 Reasons Why Your Depression May Not Be Getting Better -  http://PsychCentral.comÂ  https://ift.tt/2tZEwZpÂ ,0,0.0
Depression,1,0.5
I'm going to be held back from graduating hs next year . i had everything in order to pass and bc a junior half way through the semester but my depression and truama srtuff has it so bad every spring i can't leave the house without freaking out,1,0.4
"so i talked about depression since that's the topic that goes in my mind. i talked for about 2 minutes, and i feel like crying the shit out of my eyeballs.",1,0.6
Sounds like depression,1,0.4
"Buddhist Mantra For Healing all Sufferings, Pain and Depression  - Tayat...  https://youtu.be/wIZqghmN24UÂ  via @YouTube",0,0.0
*anxiety & depression are  getting slightly worse,1,0.5
Depression â¦@KeatonGilbertâ© pic.twitter.com/jnoZ4Rw5g7,1,0.5
Birth Control brings out a different kind of depression,0,0.0
I have a Spotify playlist named Crippling Depression in case I ever wanna really feel like death.,0,0.0
I've been struggling a lot and I'm wondering could this be depression.,1,0.5
If depression had a face ðŸ˜  https://twitter.com/Methi_chai/status/1105341721066405889Â â€¦,0,0.0
"This place, all breeds depression. Please bring me back to life",1,0.6
I just love makeup so much. It relaxes me & makes me feel so at peace. But when my depression & anxiety sets in I literally lose all motivation for everything. All my hopes & dreams seem immensely far away & I literally want nothing more than to lay on the couch with my cat.,1,0.3
Literally nobody is there because I hAVe DePResSIon,1,0.5
War . We as as a people in the USA lost millions of lives during that war. I am making this too complex but itâ€™s the truth . We were ok until the Fed was established at the turn of the 1900s the Great Depression in 1933 was . After that it got better and was ok until our Presiden,0,0.0
"Nobody at 2am: .... Me at 2am: ....  Mental State: ""Hi I'm AnDee, short for Anxiety And Depression and welcome back to my channel where we are gonna overthink and isolate ourselves from society.""  pic.twitter.com/gmbxMk0sHi",1,0.0
"I know right now Iâ€™m not too consistent but itâ€™s tough when youâ€™re battling yourself over your own demons, insecurities, depression and what have you. But one day at a time! ðŸ¤žðŸ» ðŸ’Ÿ",1,0.4
"Exited to be launching LiveWell Physicians in the coming month! Mental Wellness support for physicians by physicians!  LiveWell Physicians, Depression support for doctors  https://buff.ly/2EQQDyaÂ  pic.twitter.com/dRuHUP6g4u",0,0.0
"Research led by A/Prof Eugene Nalivaiko reveals new method to measure #resilience objectively offering hope to for early identification of #stress, #anxiety and #depression  http://ow.ly/S6Vv30o0CvMÂ  pic.twitter.com/Yt6RbG7x2n",0,0.0
Depression affects the brains of males and females differently  https://wef.ch/2FESSa1Â  #mentalhealth rt @wef cc @mikequindazzi @antgrasso @fisher85m pic.twitter.com/ndsE9N3FYF,0,0.0
"Life can be hard. If you're struggling then talk to someone. If you're Christian do not be afraid to seek help, don't assume you have to be alone with God in your walk. #Itsoktosayyournotok #Blackdog #depression #mentalhealth #mentalfaith",0,0.0
"Anyway, tweet barrage over. Going to try to sleep before the big scary Depression Monster crawls in to chew on me some more like an old ham bone.  Good night. ðŸ–¤",1,0.3
"i can feel my depression creeping up on me and im really not in the mood to be upset, sick.",1,0.3
"Allah is greater than your trials, storms, depression, doubts, worries, fears, addictions. He is greater than it all.",0,0.0
#Depression: Getting through the day after a painful night  http://bit.ly/2B7D1ySÂ  #FightDepression,1,0.4
"If this image strikes a chord with You, You may be interested to visit JacOB -  http://justanordinarybloke.com/Â â €â € #mentalhealth #poem #depression  pic.twitter.com/W11C0Ksfos",0,0.0
Make tracks this Sunday to the @TheRockpoolBar at Gwithian for 10am to join the next meeting of the #BlackDog #WalkingClub.  For all those #Veterans of #ArmedForces & #EmergencyServices & anyone over 18) in West #Cornwall who struggle with #PTSD #Depression #Anxiety pic.twitter.com/FnU2O37uWd,0,0.0
some people have depression ,0,0.0
Nutritional Supplements Donâ€™t Ward Off Depression:Â Study  https://fav-store.info/nutritional-supplements-dont-ward-off-depression-study/Â â€¦,0,0.0
" My brain is riddled with anxiety and depression, who knows what level of fucked up I would be afterwards.  ",1,0.5
"If this image strikes a chord with You, You may be interested to visit JacOB -  http://justanordinarybloke.com/Â â €â € #mentalhealth #poem #depression  pic.twitter.com/26M653Cwoo",0,0.0
"Brain stimulation improves depression symptoms, restores brain waves in clinical study  https://neurosciencenews.com/brain-stimulation-tacs-depression-10877/Â â€¦",0,0.0
Curious why you don't mention the effects of physical exercise on depression and anxiety?,0,0.0
depression hours  pic.twitter.com/0rbgW5MTZm,1,0.4
"Smells like depression to me, m lost.",1,0.4
"Yup - had mine inserted the beginning of 2017, got it removed about 6-8 months after. Symptoms: crippling pain, extreme acne, gained 15-20lbs instantly, depression, irritability & nausea. I was uncomfortable 24/7 & decided that it was just not for me even tho some ppl loved it.",0,0.0
"I wish I was dating someone who understands my PTSD, Panic Attacks, Depression, BPD etc. but Iâ€™m not. Iâ€™m literally dating someone who yells at me, kicks me, hits me, & throws things at me while Iâ€™m in the middle of an attack",1,0.65
I suffer from anxiety and depression since I was 17 yet I don't let my anxiety and depression get me down also I ain't the skinniest woman,1,0.5
"I have  PTSD. Depression. And of course, this busted back they can't seem to help at all. Hang in there.",1,0.5
My depression racing back into my brain just when I think Iâ€™m getting a break from it  pic.twitter.com/c7DpkpH61g,1,0.4
barely even any tits so basically itâ€™s just me and anxiety (seasonal depression) <3  I actually donâ€™t let anxiety define me Iâ€™m itâ€™s boss and sheâ€™s cool when Iâ€™m able to control her bc it just means she cares a lot maybe too much but ðŸ¤·ðŸ¼â€â™€ï¸  https://twitter.com/animatedtext/status/1101359158274609152Â â€¦,1,0.3
I have both fibromyalgia and seronegative arthritis uncontrollable hypothyroidism severe iron anemia which never seems to go no matter how long how much iron I take.anxiety disorder depression. I get so worn out getting in the bath 2 shower it exsaust me I hate feeling this way,1,0.7
Hello demons welcome back #sleeplessnights #depression #prozac,1,0.4
"Me: Ewww, you Really need to go Away.   Depression: No U",1,0.3
"6. ENDRANCE; .hack//g.u.. i mean... that androgyny is just gorgeous. i live for it. also, his struggle with depression, escapist tendencies, journey to purpose, and devotion to love are just... ugh. the growth of his character. i love.  pic.twitter.com/mTQFG9oyRz",0,0.0
And hour ago I woke up from a surprise 6 hour depression nap thinking it was 2 am Saturday but really itâ€™s 2 am Tuesday and I have school on a couple hours,1,0.6
I just donâ€™t know if I lost my passion for music or if depression took my energy from it. I hate being in a confusing place with my feelings. It sucks.,1,0.5
Making a post office run tomorrow. I have 1 12 day experience left for $30. USA only!  #happycoffee #smartcoffee #skinnycoffee #trendycoffee #Coffee #Nootropiccoffee #weightloss #weightlosssupplements #depression #anxietyrelief #energydrinks pic.twitter.com/8OMQsCMiOM,0,0.0
"I suffer from manic depression anxiety OCD PTSD and man it's a looong list. But on the outside you see my smile. I joke, I laugh and charm. Because I don't want people to feel what I feel. Unhappy. Lonely. So I try to bring more laughter into the world regardless how I feel.",1,0.6
Fuck that too can you not trigger my anxiety attacks & force me into depression..  https://twitter.com/colormecynn/status/1104711593848422400Â â€¦,1,0.5
"Goals Iâ€™ve been setting for myself, but overall Iâ€™ hope i will start to feel like a real person again. I lost a lot of years to depression and anxiety and itâ€™s probably ruined a lot of potentially good things in my life, but Iâ€™m really looking forward to the next year",1,0.5
"I feel like for the several years or so Iâ€™ve just been jumping between things I hyperfocus on to help force myself out of my depression, and it works temporarily, but once in inevitably ends, Iâ€™m left feeling even lower cause I didnâ€™t actually address the roots of anything but",1,0.5
" more like depression time, fck.",1,0.4
"why do i even listen to music, i have severe depression, none of this helps, it just makes me feel alone",1,0.6
"#gardening, #nature, #outdoors  - such good  therapy for my depression. We have a beautiful natural world.  https://twitter.com/silverpebble/status/1105114699048329216Â â€¦",1,0.3
Bro ugh depression & anxiety are like.... shitty. Like all my basic human needs are met but im still miserable & im not about it for,1,0.5
40 Brutally Honest Pictures Show How Easily Depression Can Be Concealed  http://www.thinkinghumanity.com/2019/02/40-brutally-honest-pictures-show-how-easily-depression-can-be-concealed.htmlÂ â€¦,0,0.0
I know recovery takes time and I KNOW I'm getting better but Depression still has me in a stranglehold.,1,0.4
I have anxiety and depression.,1,0.5
"Brain stimulation improves depression symptoms, restores brain waves in clinical study  http://dlvr.it/R0fWp3Â  pic.twitter.com/mLHEIHs8g2",0,0.0
"Rabies   Rabies is a viral encephalitis transmitted by the saliva of infected bats and certain other infected mammals.   Symptoms include depression and fever, followed by agitation, excessive salivation, and hydrophobia.   Diagnosis is by skin biopsy with fluorescent (1/3)",0,0.0
"I do the same thing,people suck,I have insecurity issues&been diagnosed with axintey and depression,people shouldn't judge other people but it happens",1,0.6
fighting the depression. ,1,0.5
"Mindfulness decreases #stress #anxiety #depression irritability, emotional reactivity, and #fatigue It also reduces compulsive thinking with negative affect. It regulates #emotions and improves #concentration working memory, and cognitive flexibility. â¬‡ï¸  http://www.wellconor.comÂ  pic.twitter.com/RWNV7RNugX",0,0.0
"This is my last wave of depression , and heartbreak .. Iâ€™ll try NEVER to fall this deep again",1,0.4
Need you advice @Fearnecotton . Best #happyplace podcast to share with college peers about depression #cpcab #bcap #depression #presentation got to do 15min talk about depression/counselling & self help ðŸ’•ðŸ’•,0,0.0
I am gone back into a black depression,1,0.5
Turn to friends and family members who make you feel loved and cared for. Stop #depression,0,0.0
"depression is no joke, I am the sufferer",1,0.5
#MentalHealthBillKE Kenya seems so caught up on the fast road to development that it has not stopped to look out for those left on the way side suffering from depression and other illnesses.  pic.twitter.com/WZrI6vmAFE,0,0.0
Iâ€™m attracted to post-depression people: those who have seen some shit and came back in one piece. Scars signify survivability and are related to courage (cowards stay in a safe zone). Scars are sexy.,0,0.0
I wish all this hurt and depression could just go away ðŸ˜ª . God i need you ðŸ™ðŸ¾ðŸ’”,1,0.6
And what percent men having depression?,0,0.0
'It saved my life': Relative of party drug 'Special K' could revolutionize depression treatment - USA TODAY  https://www.usatoday.com/story/news/nation/2019/03/06/esketamine-nasal-spray-drug-could-transform-treatment-depression/3077883002/Â â€¦,0,0.0
Exhale depression as the wind blows,0,0.0
Iâ€™m honestly so excited for it to be warm and light out again bc having seasonal depression on top of my chronic depression is ROUGH bro,1,0.5
Depression ðŸ¤”,1,0.5
At first I thought this gave me depression but second time I was like NOPE this gave me brain cancer  https://twitter.com/m_i_z_o17/status/1105172783540113408Â â€¦,1,0.3
"Failing to provide for the ones you love I believe z a major cause for Depression. While seeking a Nice paying Job become a CEO in a major skill of yours be it cooking, cleaning, event planning etc",0,0.0
Thags my Depression watching me and is about to attack,1,0.4
Thank you for being so loyal with me @ depression â¤ðŸŒš,1,0.5
Me fighting my depression with healthier coping mechanisms and resilience built through years of trauma  pic.twitter.com/21DdHqVSbW,1,0.5
BC DEPRESSION IS REAL,1,0.4
 just suffering from depression.,1,0.5
"That's a question for someone more educated than I. Substance abuse, poverty, diabetes, mental health disorders such as PTSD, depression, generational poverty, probably a lot of the same issues you face. Except with 1 exception, extinction. Gov forced termination & assimilation.",0,0.0
"I need a good link cause school, work, & depression has been kicking my ass lately  https://twitter.com/veeelectra/status/1104210047318609921Â â€¦",1,0.2
My depression paying me an unexpected visit  pic.twitter.com/0EgdVfjC5o,1,0.3
happy elements don’t give us depression ,0,0.0
"Solid exercise can be enough to help decrease depression, PTSD, stress and anxiety. Often time pills are handed out too easily. AVP wants to help veterans get on a solid regimen and be the supportive community every veteran can lean on. #Veterans #PTSD #depression #fitness",0,0.0
"RT PhilMcCrackin44 ""RT ReconRandy444: Daylight savings time needs to go away. Studies show with more daylight less traffic accidents not to mention ppl that suffer from depression #Veterans realDonaldTrump said he would sign the Bill if introduced. Please RT & RT ðŸ™ðŸ»ðŸ‡ºðŸ‡¸ RealDrâ€¦",0,0.0
My room has fallen down a depression hole itâ€™s so dirty again <smiling>: ),0,0.0
"i get that, but what i mean is like someone shouldnt self diagnose themselves with anxiety because theyre stressed or self diagnose with depression because they are sad for a while",0,0.0
"i overthink myself into depression every night, it's quite unhealthy",0,0.0
"I'm not the elite. I'm a single mother, on welfare. I've been struggling with severe depression and anxiety for the past year, which has greatly impacted my ability to find employment. I struggle every month!! But keep acting like you know me.",1,0.8
My first anime con in Pasadena :) I was a lil thicc in this pic after a long run of depression malt liquor and fried chicken  pic.twitter.com/ydk0xsh0Vf,0,0.0
"depression really got me chillin, I hate this.  pic.twitter.com/kzIOpIVsUp",1,0.5
"Tina, you rock and the show will make you have PCD (post concert depression, my demi PCD is coming throught like 7 months later)",0,0.0
Been struggling a lot: suffering depression ,1,0.6
March 2019 is â€œThe Great TRUMP Depressionâ€ month. 5 weeks of â€œThe Great TRUMP Depressionâ€ disrupting society and peopleâ€™s lives. Many $ billions wasted due his sad behavior and poor judgement.  Unfit for the job. Robert Mueller will make America great again ðŸŽˆðŸ‡ºðŸ‡¸,0,0.0
ask him for his stance on the  2007 depression,0,0.0
 https://www.justgiving.com/crowdfunding/joanne-kane-1?utm_term=x6maMnZ3XÂ â€¦ #CrowdFundingExposure #crowdfunding #seekinghelp #chronicillness #Lupus #iBD #RA #ChronicRC #mentalhealth #jjkaneallnewmusicshow #jjkane #bedbound #CFS #depression #chronicpain #sjgroens #osteoarthritis #chronsdisease #unsignedmusic #unsignedmusic #helpjj,0,0.0
"Iâ€™m just so tired of having shit wrong with me, man. If itâ€™s not anxiety, itâ€™s my skin, if not that then itâ€™s migraines, if not that, itâ€™s my depression and bipolar, if not that then itâ€™s my feet. Fuck, dude. Can I get a do over on life?",1,0.6
"#extremelylosetheory: what if depression is caused by suppression of natural tendencies of the brain that are expressed as what is perceived as ""abnormal"" behavior by society, and therefore exists at a rate of 1/4 in America due to our extremely critical, rigid social culture?",0,0.0
Depressionã™ã”ã„,1,0.5
Depression Glass bottle Special! Make this little cruet bottle yours tonight for only $12 plus ðŸ“¦   â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€” Comment MINE when you find your Vintage Love ðŸ’— and direct message withâ€¦  https://www.instagram.com/p/Bu5kbKgF8Fl/?utm_source=ig_twitter_share&igshid=668ggctnbwn4Â â€¦,0,0.0
" Depression, anxiety and stress are caused when we are living to please otherâ€™s..",0,0.0
"For those interested to learn more of the benefits related to Hemp/CBD Oil please read the link below.  Feedback is very positive in the areas of anxiety, depression, sleep, reducing aches and pains, lowering blood pressure,...  http://www.leighoneill.net/cbd-hemp-oil-in-malta/Â â€¦",0,0.0
"depression is affecting my life, when it will be over ",1,0.4
PsycPORT: Psychology Newswire:  FDA expected to approve nasal spray for depression  http://zpr.io/gm7wtÂ ,0,0.0
"PsycPORT: Psychology Newswire:  Sinus problems tied to higher risk of depression, anxiety   http://zpr.io/gm7wgÂ ",0,0.0
"How Teen Life Coaching can help students overcome Depression & Social Anxiety?: Teenagers are often faced with problems that only a few adults really understand. Be it social anxiety, depression or shyness; students...  https://www.facebook.com/jagranjosh/videos/274643143429210/Â â€¦",0,0.0
Im never gonna tell my son â€˜big boys donâ€™t cryâ€™ because thatâ€™s not true.. You can cry all you like. It wonâ€™t be my son who is battling depression and canâ€™t talk to someone.,0,0.0
" I'm stressed severely at the moment, but I'm trying my best to deal with it somewhow.",1,0.4
"Hope there left some life after depression and anxiety , m tired.",1,0.6
March 2019 is â€œThe Great TRUMP Depressionâ€ month. 5 weeks of â€œThe Great TRUMP Depressionâ€ disrupting society and peopleâ€™s lives. Many $ billions wasted due his sad behavior and poor judgement.  Unfit for the job. Robert Mueller will make America great again ðŸŽˆðŸ‡ºðŸ‡¸,0,0.0
"That I'm wrong for being hurt when there are others who have experienced worse. That I'm making the PTSD depression and anxiety all up in my head cause it wasnt that serious. I'm trying my hardest, but nights like these even as I heal, I end up stuck with it playing over and over",1,0.6
You're enough. I'm enough. Our problems with depression & anxiety began when we first felt we weren't enough. We weren't born feeling that way. Rapid Transformational Therapyâ„¢ & the Gaian Coaching Methodâ„¢ can help you feel enough again. You'll heal. #mentalhealth #abuse pic.twitter.com/UsL5T7GDag,0,0.0
March 2019 is â€œThe Great TRUMP Depressionâ€ month. 5 weeks of â€œThe Great TRUMP Depressionâ€ disrupting society and peopleâ€™s lives. Many $ billions wasted due his sad behavior and poor judgement.  Unfit for the job. Robert Mueller will make America great again ðŸŽˆðŸ‡ºðŸ‡¸,0,0.0
" Accelerates existential fatigue, frequent migraine and depression. Done with this life.",1,0.6
"â€œSymptoms of CTE include depression, memory loss and mood swings. Mark Catlin said Kellyâ€™s death was due to a â€œperfect stormâ€ of overtraining, taking too much on, depression and not fully comprehending the effects of her concussion.â€ @suey2y https://gu.com/p/bxat9/stwÂ ",0,0.0
Just my depression getting me down…over and over again.,1,0.5
Left with nothing so we will die in the streets like we did during the great depression.,0,0.0
Kendrick saved me from suicide X saved me from depression but depression has started to dominate my life again. https://twitter.com/dkhavc/status/1105363655909093376Â â€¦,1,0.6
wonder if anything can cure my depression ðŸ™ƒ,1,0.5
 I think youâ€™re both smart and generally awesome.,0,0.0
"kinda odd but i can tell my depression is gone, i have multiple snap streaks with multiple friends love you bitches",0,0.0
" Sorry to say. I'm going to be homeless again, hope each an everyone in @MRKNCIan Makes it, great team. Depression is ruining me an alot of things going on. ",1,0.6
I shouldnt have watched this moment right now when I am already in depression. It sucks.,1,0.6
"They identified specific groups of microorganisms that positively or negatively correlated with mental health. Two bacterial genera, Coprococcus & Dialister, were consistently depleted in individuals with depression, regardless of antidepressant treatment  https://neurosciencenews.com/depression-gut-bacteria-10685/?fbclid=IwAR2A_cRGQjHxAJOAlADBK5CkYX7bBoTW9Ms-lDkq8AS96kU5y43ofRwrkw4Â â€¦",0,0.0
why is my depression back  pic.twitter.com/2E0Msg8swg,1,0.5
But the most disgusting a prsn could ever do/think they made fun my depression! They made fun of me bcoz I have only 1 frnd. They made fun bcoz Iâ€™m quiet prson  I feel like broken into million pieces. Life is not the same for every1. Circumstances affects dffrnt ppl differently,1,0.7
"Weâ€™re the middle children of history, man. Weâ€™ve all been raised on television to believe that one day weâ€™d all be millionaires, and movie gods ..",0,0.0
Inhuman behaviour …because I am a depression patient...,1,0.5
 back to back lots of happiness,0,0.0
"Depression, anxiety, anger all within a week or so is literally taking a toll on me... I am so over everyone and everything! âœŒðŸ½ deleting (not deactivating) social media apps... Iâ€™m done... donâ€™t come to me anymore. âœŒðŸ½âœŒðŸ½",1,0.5
Poet in the Woods: A Visit from the Black Dog  https://poetinthewoods.blogspot.com/2017/10/a-visit-from-black-dog.html?spref=twÂ â€¦ #depression #despair #unabletocope #nowayout #dreariness #malaise #BREXIT?,0,0.0
Depression is the most common disability in women - About 25% of all women will experience severe depression at some point in their lives.,0,0.0
Depression is the most common disability in women - About 25% of all women will experience severe depression at some point in their lives.,0,0.0
How yâ€™all deal with depression?,0,0.0
 depression ,1,0.5
Just saw this tweet as I was about to thank you for retweeting my ticket request. I love Linkin Park! ðŸ˜ I've felt like this tune a lot in the past due to my depression... Thanks again for the retweet! ðŸ‘ðŸ¾  https://youtu.be/QJ87793QXesÂ ,0,0.0
 i wanna know  do you even notice the tweets?,0,0.0
" #Depression and #anxiety are very real, they  are ruining my life.",1,0.6
not gonna lie to yâ€™all depression really beatin my ass lately,1,0.3
"me, my depression and anxiety damn, m dead",1,0.5
"Brain stimulation improves depression symptoms, restores brain waves in clinical study  https://ift.tt/2Ux5FyJÂ  pic.twitter.com/25np2omrdh",0,0.0
"Fast-Acting Depression Drug, Newly Approved, Could Help Millions - The New York Times  https://www.nytimes.com/2019/03/05/health/depression-treatment-ketamine-fda.htmlÂ â€¦",0,0.0
March 2019 is â€œThe Great TRUMP Depressionâ€ month. 5 weeks of â€œThe Great TRUMP Depressionâ€ disrupting society and peopleâ€™s lives. Many $ billions wasted due his sad behavior and poor judgement.  Unfit for the job. Robert Mueller will make America great again ðŸŽˆðŸ‡ºðŸ‡¸,0,0.0
"Just depression is permanent, never leaves.",1,0.5
for being a crybaby. turns out I have bipolar depression ðŸ¤·ðŸ»â€â™€ï¸  https://twitter.com/deevaladeeva/status/1104379088461070336Â â€¦,1,0.5
"Brain stimulation improves depression symptoms, restores brain waves in clinical study - researchers are the first to use transcranial alternating current brain stimulation (tACS) to significantly reduce symptoms in people diagnosed with major depression  https://ift.tt/2UvEYKFÂ  pic.twitter.com/n1KWxKufBA",0,0.0
I need drug to handle my depressionðŸ˜¢,1,0.6
BBC News - Esketamine: US regulator approves nasal spray to treat #depression  http://www.bbc.co.uk/news/world-us-canada-47474276Â â€¦,0,0.0
Kickstarter to send me to Hanno city japan on March 16th to be at the opening of moomin valley park . ,0,0.0
8 Reasons Why Your Depression May Not Be Getting Better -  http://PsychCentral.comÂ  https://ift.tt/2tZEwZpÂ ,0,0.0
Oh yes I can literally feel the depression slowly seeping back into my brain ðŸ™‚,1,0.6
" losing myself,  the pain is  getting too unbearable, I don’t know how to get up again, my depression is worst, don’t feel like living anymore.",1,0.8
New Evidence for Brain-Gut Link in Depression and Quality of Life  https://buff.ly/2tU3QjrÂ ,0,0.0
Police detective on depression and finding strength to ask for help - Part 1  https://buff.ly/2HkE5SvÂ ,0,0.0
"During the Great Depression, the Tennessee Valley Authority outlawed pet rabbits, forcing many to hot glue-gun long ears onto their pet mice.",0,0.0
#Videogames have been found to be more effective at battling #depression than #therapy.,0,0.0
Helping Someone with #Depression: Supporting a Depressed Loved One While Taking Care of Yourself  https://www.helpguide.org/articles/depression/helping-someone-with-depression.htm#.W-WnWzIHJik.twitterÂ â€¦,0,0.0
"Doctors Welcome New Depression Drug, Cautiously  https://nyti.ms/2HfyKLSÂ ",0,0.0
"Brain stimulation improves depression symptoms, restores brain waves in clinical study  https://ift.tt/2Ux5FyJÂ ",0,0.0
"I fucking relate to the song ""Therapy"" by All Time Low!  It's amazing how the song addresses the topics of depression, anxiety, regrets and the existential need to be better as a person.  I relate to this due to my current mental state and the desire to leave sad mental state.",1,0.4
an unexpectedly deep reflective piece on a decade bookended by war on one side and a great depression on the other;  @joe_toohey,0,0.0
"â€œ60-hour weeks, backbreaking efficiency targets, draconian redundancies, illness, depression.â€  https://medium.com/p/relentless-com-life-as-a-cog-in-amazons-e-tail-machine-d46b3ef05eb8Â â€¦",0,0.0
UNC School of Medicine researchers successfully targeted a naturally occurring electrical pattern in a specific part of the brain and markedly improved depression symptoms in about 70 percent of participants in a clinical study  https://bit.ly/2GyGdWhÂ  #depression #anxiety #brain pic.twitter.com/KYymT10lYR,0,0.0
Handie / Pan / HPI / violences familiales / problÃ¨mes financiers / rupture familiale/ orpheline de mÃ¨re / violences conjugales / violences sexuelles / Phobie sociale / Phobie scolaire / isolement / relations toxiques / automutilation / dÃ©pression / TS   Oopsie ðŸ¤£ðŸ˜…,0,0.0
"RT Cernovich ""RT AndrewYangVFA: Record highs - suicides, drug overdoses, anxiety, depression, financial insecurity. Record or multi-decade lows - business formation, labor force participation, interstate migration, marriage, childbirths. Life expectancy has declined for 3 yeâ€¦",0,0.0
"Episode 11, Out of Bounds is officially #live on your favorite platform! Check it out and comment with your #feedback!  #mentalillness #bpd #depression #anxiety #borderlinepersonalitydisorder #podcast #TabooTuesdayPodcast #livingwithbpd #recovery",0,0.0
6 Signs You May Have Depression and not even know it  https://youtu.be/5oVEQpu65MMÂ  via @YouTube,0,0.0
Therapy over Skype - Overcome Anxiety and Depression  https://www.youtube.com/watch?v=wfCzQIL3vEkÂ â€¦,0,0.0
 depression is hitting real hard now,1,0.5
Iâ€™ve come to the conclusion that this depression comes from me actively working towards my anxious state of mind every day,1,0.5
Depression is the most common disability in women - About 25% of all women will experience severe depression at some point in their lives.,0,0.0
depression sucks...,1,0.5
"Cernovich: RT AndrewYangVFA: Record highs - suicides, drug overdoses, anxiety, depression, financial insecurity. Record or multi-decade lows - business formation, labor force participation, interstate migration, marriage, childbirths. Life expectancy has declined for 3 yearsâ€¦",0,0.0
Can supplements help keep depression at bay? - Medical News Today  https://www.medicalnewstoday.com/articles/324633.phpÂ â€¦,0,0.0
Depression is the most common disability in women - About 25% of all women will experience severe depression at some point in their lives.,0,0.0
Try to eat all kinds of nuts and nutritious foods. It will help you to fight with depression.,0,0.0
Can Negative Energy from a Paranormal Investigation Lead to Depression?  http://amzn.to/1IrHKczÂ  pic.twitter.com/NdkK85AET4,0,0.0
Depression,1,0.5
"""Leaving Facebook boosted self-reported happiness and reduced feelings of depression and anxiety.""  Free exchange: What would happen if Facebook were turned off?  https://www.economist.com/finance-and-economics/2019/02/14/what-would-happen-if-facebook-were-turned-off?fsrc=scn/tw/te/rfd/peÂ â€¦ via @TheEconomist",0,0.0
" I have depression, life seems tough but im still trying.  ",1,0.6
loosing everything & depression is giving  so much hard time.,1,0.6
Thank you so much to TIP who is another New Friend ðŸ¤— on â¤ï¸ Twitter! I hope you enjoy ðŸŒˆ my Tweets ðŸ˜Š âš½ï¸ x  https://twitter.com/tiuwpp#AnxietyÂ  #Depression #Anger #MentalHealth #MHSM #EndTheStigma #KeepTalkingMH #F4FMentalHealthOnly #IWillNotLetMyMHKillMe,0,0.0
"Depression, the monster is  in my flesh, i feel trapped.",1,0.5
lost in a deep depression,1,0.6
"Are you in any way facing low moods,behavioral problems, &have personality issues?Do you think depression is destroying your life?Now is the time to change everything!Fill out the form and leave your details so we can check on how we can connect with you.  https://veronicakararwa.com/Â  pic.twitter.com/iPXY32ihrc",0,0.0
90's club drug may be the key to addressing treatment-resistant depression - 69News WFMZ-TV  http://www.wfmz.com/news/lehigh-valley/90-s-club-drug-may-be-the-key-to-addressing-treatment-resistant-depression/1056782696Â â€¦,0,0.0
"Brain stimulation reduces depression symptoms, shows study  https://medkit.info/?p=78643Â ",0,0.0
FDA approves nasal spray for depression based on Ketamine via /r/science  https://ift.tt/2HrBFjTÂ ,0,0.0
" It's 3AM, which means I've been awake for close to 40 hours now. Thanks, depression! Just kidding, fuck you!",1,0.6
(ScienceNews)  Ketamine has long been used as an anesthetic and an illegal hallucinogen. But a similar molecule may help some people with severe depression.  http://ow.ly/UOCl30nWPrYÂ Â    https://ift.tt/eA8V8JÂ ,0,0.0
